image,name,CODE,type,brand,category,unit_code,cost,price,product_details
,เหล็กยึดหัวเตียง(ผู้-เมีย),0-BK-001 ไม้ใช้,standard,,BK,pc,1,1,เหล็กยึดหัวเตียง(ผู้-เมีย)
,หูยึดโซฟา100/ลัง,0-BK-006 ไม่ใช้,standard,,BK,pc,1,1,หูยึดโซฟา100/ลัง
,โครงเหล็กไฟฟ้า,0-BK-007 ไม่ใช้,standard,,BK,pc,1,1,โครงเหล็กไฟฟ้า
,เหล็กปรับหัวขึ้น-ลง100/ลัง,0-BK-05,standard,,BK,pc,1,1,เหล็กปรับหัวขึ้น-ลง100/ลัง
,เหล็กปรับหัวขึ้น-ลง100ลัง,0-BK-06,standard,,BK,pc,1,1,เหล็กปรับหัวขึ้น-ลง100ลัง
,บานพับ,0-BK-060-2,standard,,BK,pc,1,1,บานพับ
,บานพับเปิดฝา 50คู่/ลัง,0-BK-068,standard,,BK,pc,1,1,บานพับเปิดฝา 50คู่/ลัง
,บานพับประกบฝา,0-BK-07 ไม่ใช้,standard,,BK,pc,1,1,บานพับประกบฝา
,เหล็กปรับหลังพิง(ใช้BK-82แทน),0-BK-082 ไม่ใช้,standard,,BK,pc,1,1,เหล็กปรับหลังพิง(ใช้BK-82แทน)
,เหล็กปรับหลังพิง,0-BK-082A ไม่ใช้,standard,,BK,pc,1,1,เหล็กปรับหลังพิง
,ตัวปรับหัวนอนโซฟา,0-BK-088-3 ไม่ใช้,standard,,BK,pc,1,1,ตัวปรับหัวนอนโซฟา
,เหล็กปรับขา+หลังพิง+โยก,0-BK-1094 ไม่ใช้,standard,,BK,pc,1,1,เหล็กปรับขา+หลังพิง+โยก
,เหล็กปรับระดับตัวเล็ก 6 ระดับ ( 180 cm),0-BK-1135 ไม่ใช้,standard,,BK,pc,1,1,เหล็กปรับระดับตัวเล็ก 6 ระดับ ( 180 cm)
,เหล็กปรับโซฟาเบส 2 ระดับ (26cm.),0-BK-1142 ไม่ใช้,standard,,BK,pc,1,1,เหล็กปรับโซฟาเบส 2 ระดับ (26cm.)
,เหล็กปรับ3ระดับ โซฟาเบส 26 Cm.,0-BK-1143 ไม่ใช้,standard,,BK,pc,1,1,เหล็กปรับ3ระดับ โซฟาเบส 26 Cm.
,กรวยรองขาโฟซาชุบสีทอง,0-BK-1144,standard,,BK,pc,1,1,กรวยรองขาโฟซาชุบสีทอง
